NAME,GEOGRAPHICAL REGION,GEOGRAPHICAL LOCATION,COORDINATES,TYPE OF SITE,ELEVATION,PERIOD,CULTURAL COMPLEX,ABSOLUTE DATING ,STONE ARTIFACTS,PALEOLITHIC HUMAN REMAINS,LITERATURE,coord_ns,coord_ew
Campanoz,Istra,southern part of the Istrian peninsula in Medulin,"44.849052824411324, 13.899996050873133",O,,MP,M,new site- in progress,YES,NO,Banda 2022; ,44.84905282,13.89999605
Giljanovići (Karanušići),Dalmacija,Labin,"43°55'87"" N, 16°24'95"" E",O,154,MP,,,,,,43.94083333,16.42638889
Igraliste-Dolac,Dalmacija Zadar,Dugi otok,"44.142032, 14.841416",O,14-16,MP,M,,YES,NO,Krile and Vujevic 2017,44.142032,14.841416
Kaštel Štafilić – Resnik,Dalmacija,underwater,"43° 32'19'' N, 16° 18'45'' E",underwater,3-4m below sea level,MP,M,"90-40,000 BP tephra date",YES,NO,"Barbir, A., Perhoč, Z., Zubčić, K., & Karavanić, I. (2022); Karavanić, I., & Barbir, A. (2020).",43.53861111,16.3125
Krapina,SZ Hrvatska,Hrvatsko zagorje,"46°9'53""N,15°51'49""E",C,,MP,M,120-130 kyr,YES,YES,,46.16472222,15.86361111
Malo Polje Krban,Dalmacija,Trogir,"43.525783, 16.264043",O,,MP,M,,YES,NO,"Karavanić, I., Banda, M., & Paraman, L. (2023)",43.525783,16.264043
Martijanec,SZ Hrvatska,"Ravna gora, Varaždin","46° 18' 12""N, 14° 08' 38"" E",O,?,"MP,EUP","M,G?",,YES,NO,(Malez 1979: 243 karta 1:36; Paunović et al. 2001: 41),46.30333333,14.14388889
Mujina pećina,Dalmacija,Trogir,"43° 32'N, 16° 30' E",C,260m,MP,M,CCA 39000 - 45000 BP,YES,NO,,43.53333333,16.5
Panjorovica/Panđerovica Veli Rat ,Dalmacija,Dugi otok,"44.150239, 14.827847",O,8,MP,M,/,YES,/,"(Malez 1979: 245 Karta 1:75; Hinić 2000; Karavanić & Janković 2006: 36, Krile & Vujevic 2017)",44.150239,14.827847
Polje,Dalmacija Zadar,Dugi rat/otok,"44.134675, 14.861064",O,4,MP,M,,YES,NO,Krile and Vujevic 2017,44.134675,14.861064
Ražanac,Dalmacija,Ražanac,"44° 11' N, 15° 29' E",O,/,MP,M,/,YES,NO,"(Malez 1979: 250–51 karta 1:73; Paunović et al. 2001: 62, vujevic 2009; vujevic, perhoc, ivancic 2017)",44.18333333,15.48333333
Samobor,SZ Hrvatska,Podstražnik,"45° 48' N, 15° 42' E",O,200,MP,M,,YES,NO,(Malez 1979: 253–54 karta 1:45),45.8,15.7
"Stipanac, Prokljansko jezero",Dalmacija,Otok Stipanac,"43° 48' 59.99"" N,15° 51' 59.99"" E",O,underwater (3 m deep),MP,M,/,YES,/,"(Malez 1979: 254–55 karta 1:80), Karavanić, I., & Vukosavljević, N. (2019), Brusić (1977); Benjamin et al. 2011",43.81666389,15.86666389
Straza,Dalmacija Zadar,Dugi otok,"44.140877, 14.835754",O,20-30,MP,M,,YES,NO,Krile and Vujevic 2017,44.140877,14.835754
Uvala Cuna-Darstalo,Dalmacija Zadar,Dugi otok,"44.135599, 14.856929",O,0-1,MP,M,,YES,NO,Krile and Vujevic 2017,44.135599,14.856929
Uvala Jaz-Polje,Dalmacija Zadar,Dugi otok,"44.135395, 14.860817",O,0-1,MP,M,,YES,NO,Krile and Vujevic 2017,44.135395,14.860817
Valacin Zal- Uvala Podlokvanj,Dalmacija Zadar,Dugi Rat/otok,"44.159398, 14.8248665",O,2024-01-02 0:00,MP,Mousterian,,YES,NO,Krile and Vujevic 2017,44.159398,14.8248665
Varždinske toplice,SZ Hrvatska,Varaždin,"46° 18' 12"" N, 16° 14' 38"" E",C,?,MP,M,,YES,NO,(Malez 1979: 261–62 karta 1:37; Paunović et al. 2001: 42),46.30333333,16.24388889
Veternica,SZ Hrvatska,Medvednica,"45° 50' 36"" N, 15° 52' 24"" E",C,306,MP,M,">43 200 BP , 33,850 years B.P, 31,168 years B.P, 26,450 years B.P.
",YES,YES,(Malez 1979: 266–69 karta 1:44; Paunović et al. 2001: 43–46; Karavanić & Janković 2006: 34–35; Komšo 2006: 77; Miracle et al. 2010),45.84333333,15.87333333
