NAME,GEOGRAPHICAL REGION,GEOGRAPHICAL LOCATION,COORDINATES,TYPE OF SITE,ELEVATION,PERIOD,CULTURAL COMPLEX,ABSOLUTE DATING ,STONE ARTIFACTS,PALEOLITHIC HUMAN REMAINS,LITERATURE,coord_ns,coord_ew
Abri Kontija 002,Istra,Limski kanal,"45° 8'15""N, 13°43'7"" E",RS,46,UP,G,/,YES,NO,"(Janković et al. 2016, 2017a; b, 2022; Peresani et al. 2021: 15 Tab 2)",45.1375,13.71861111
Bukovac pećina,Gorski kotar,Lokve,"45° 21'N, 14° 45'E",C,864,UP,AU,/,NO,NO,(Malez 1979: 228–29 karta 1:74; Paunović et al. 2001: 48–50; Karavanić & Janković 2006: 43),45.35,14.75
Cerovačke pećine,Central Croatia- Lika,"Velebit, Gracac","44° 16'24""N , 16° 53'48""E",C,"624 lower, 671 upper",UP,AU,>40ka dated from spelothem,YES,YES,"Paunovic et al. 2001, Malez 1956",44.27333333,16.89666667
Dražica,Dalmacija,otok Molat,"44° 13'N, 14° 50' E",O,/,UP,Epipaleolithic?,/,YES,NO,(Malez 1979: 230 karta 1:71; Paunović et al. 2001: 63),44.21666667,14.83333333
Glavičica,Dalmacija,Cetina,"43°45'N, 16°40'E",O,295,"UP, Mes","E, Lmes ",/,YES,NO,(Malez 1979: 230–31 karta 1:83; Paunović et al. 2001; Komšo 2006: 75),43.75,16.66666667
Ivšišće,Istra,Čepić polje,"45.19881754731287, 14.098532077351189 ",O,,UP,"EUP, AU",,YES,NO,"(Komšo, Balbo, Miracle, 2007; Karavanic & Vukosavljevic 2019; Miracle 2007",45.19881755,14.09853208
Kamenika,Slavonija,Srednji Lipovac,"45° 12'N, 17° 35' E",RS,/,UP,AU/G,,YES,NO,(Malez 1979: 233–34 karta 1:49; Paunović et al. 2001: 48),45.2,17.58333333
Kopačina,Dalmacija,otok Brač,"43° 22'N, 16° 32' ",C,280,"LUP, Mes","LE,Mes","13160 ± 310
11980 ± 270
9160 ± 100
5340 ± 65/ too young?",YES,YES,(Miracle 1995; Čečuk 1996; Komšo 2006: 73; Vukosavljević et al. 2011; Vukosavljević & Perhoč 2017),43.36666667,16.53333333
Ljubićeva pećina,Istra,Marčana,"44.9718 N, 13.9519 E",C,170,LUP,LE,16120-15670 cal BP,YES,NO,"(Vukosavljević & Karavanić 2017: 9 Tab. 1; Janković et al. 2019, 2022; Percan et al. 2020; Peresani et al. 2021 Tab.2)",44.9718,13.9519
Pečina na Gradini,Istra,Kastav,"45° 20' N, 14° 30'E",C,393,EUP,AU?,/,YES,/,(Malez 1979: 246 karta 1:53; Paunović et al. 2001: 60),45.33333333,14.5
Pećina kod Rovinjskog Sela 1 ,Istra,Limski kanal,"45°07'35.5""N,13°42'11.5""E",C,71,"LUP,Mes","G?, Mes?",31290-30405 cal. BP,YES,NO,"(Komšo 2006: 68; Janković et al. 2016: 17–18, 2017b: 16–18; Peresani et al. 2021 Tab.2)",45.12652778,13.70319444
Pećina u Brini istočna,Dalmacija,Drniš,"43° 50' N, 16° 10'E",C,250,UP,G,,YES,NO,(Malez 1979: 246–47 Karta 1:57; Paunović et al. 2001: 65–66),43.83333333,16.16666667
Pećina u Brini zapadna,Dalmacija,Drniš,"43° 50' N, 16° 10'E",C,250,UP,"AU,G",18 388+- 280,YES,NO,(Malez 1979: 247–48 Karta 1:57; Paunović et al. 2001: 65–66),43.83333333,16.16666667
"Sabljićevo, Sušak ",Kvarner,Rijeka,"45° 20' N, 14° 30' E",C,/,EUP,AU?,/,YES,NO,(Malez 1979: 253 karta 1:63; Paunović et al. 2001: 60),45.33333333,14.5
Sumpetar,Dalmacija,Jesenice,"43° 28' N, 13° 35' E",C,,UP,Epipalolithic,/,YES,NO,(Malez 1979: 255 karta 1:85; Paunović et al. 2001: 62),43.46666667,13.58333333
