NAME,GEOGRAPHICAL REGION,GEOGRAPHICAL LOCATION,COORDINATES,TYPE OF SITE,ELEVATION,PERIOD,CULTURAL COMPLEX,ABSOLUTE DATING ,STONE ARTIFACTS,PALEOLITHIC HUMAN REMAINS,LITERATURE,coord_ns,coord_ew
"Abri Šebrn
",Istria,Ćićarija,"45.33771253384577, 14.162687241350081",RS,750,MES,EMes,8650±9360 C-14 bp or 7610±8400 Cal BC,YES,NO,"(Miracle et al. 2000; Komšo 2006: 64; Komšo et al. 2020: 14–15)
",45.33771253,14.16268724
Brjgućeva Loza 1 (Loza),Istra,Kastav,"45° 28' 4"" N, 14° 14' 32"" E",C,510,MES,,,YES,NO,(Malez 1979: 242–43 karta 1:52; Paunović et al. 2001: 59 Fig. 4; Komšo 2006: 64),45.46777778,14.24222222
Borik,Dalmacija,"Zadar (Oštri rat ili Punta Mika)
","44° 05'N, 15° 15' E",O,5,MES,,,YES,NO,(Malez 1979: 227 karta 1:76; Paunović et al. 2001: 64),44.08333333,15.25
Brodski Drenovac,Slavonija,brodsko Posavlje (Pleternica),"45° 13'N, 17° 45'E",O,248,"UP, Mez",,,YES,NO,(Malez 1979: 227 karta 1:50; Komšo 2006: 76),45.21666667,17.75
Jami na Sredi,Kvarner,otok Cres,"44° 40'N, 14° 28' E",C,102,Mes,,,,,(Paunović et al. 2001: 61; Komšo 2006: 69),44.66666667,14.46666667
Klanjčeva peć,Istra,Ćićarija,"45° 19' 59""N, 14° 11' 16"" E",C,828,"UP?, Mes","E, EMes, Lmes (Castelnovien)",/ too young for project?,YES,NO,(Malez 1979: 234–35 karta 1:54; Paunović et al. 2001: 53; Komšo 2006: 65),45.33305556,14.18777778
Ledenice ,Dalmacija,otok Molat,"44° 13'N, 14° 50' E",O,/,"UP, Mes","Epipaleolithic?, Mes?",/,YES,NO,(Malez 1979: 241 karta 1:69; Paunović et al. 2001: 63; Komšo 2006: 74),44.21666667,14.83333333
Lim 001,Istra,Limski kanal,"45°08'02.1""N,13°43'52.3""E",RS,?,Mes,LMes,,YES,NO,"(Janković et al. 2016: 16–17, 2017b: 14–16)",45.13391667,13.73119444
Lopar,Kvarner,otok Rab,"44° 50'N, 14° 45' E",O,20,"UP, Mes",Tardigravetian?,/,YES,NO,,44.83333333,14.75
Nin,Dalmacija,solana,"44° 14'N, 15° 10' E",O,/,"UP?,Mes?",Epipaleolithic,/,YES,NO,(Malez 1979: 243–44 karta 1:36; Paunović et al. 2001: 62–63),44.23333333,15.16666667
Okruglo,Dalmacija,Sinj,"43° 45'N, 16° 40' E",O,/,"UP?,Mes?","Epipaleolithic, Mes?, Neolithic?",/,YES,NO,(Malez 1979: 244 karta 1:82; Paunović et al. 2001: 64; Komšo 2006: 75),43.75,16.66666667
Podstojna peć,Istra,Mošćenička draga,"45° 15' N, 14° 15' E",C,"335, 85?",Mes,"Epipaleolitik, Lmes","6460±95 BP 
",YES,NO,(Malez 1979: 249 Karta 1:57; Paunović et al. 2001: 58; Komšo 2006: 63–64),45.25,14.25
Podumci kod Unešića,Dalmacija,Unešić,"46° 12' N, 16° 18' E",O,295,Mes,Lmes?,,YES,NO,(Malez 1979: 249 Karta 1:81; Paunović et al. 2001: 67; Komšo 2006: 75),46.2,16.3
Savurdija,Istra,Umag,"45° 30' N, 13° 30' E",O,?,"tardigravettian, Mes?","tardigravettian, Mes?",11 155 years BP (stratum d),YES,NO,(Malez 1979: 254 karta 1.51; Paunović et al. 2001: 50–51; Komšo 2006: 71),45.5,13.5
